Resturent_Name,Food_Type,Points of Review,Reviews_link,Comments_link
"Sponsored
Hidemasa","Japanese, Sushi$$$$Menu",44 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d24106070-Reviews-Hidemasa-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d4340085-r883567728-Kamat_Vegetarian_Restaurant-Dubai_Emirate_of_Dubai.html
51. Azure Beach Dubai,"Bar, Mediterranean$$ - $$$Menu","3,177 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d12711879-Reviews-Azure_Beach_Dubai-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d1847921-r867239272-Warehouse-Dubai_Emirate_of_Dubai.html
52. Jones The Grocer - Delta Jbr,AustralianMenu,518 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d25152460-Reviews-Jones_The_Grocer_Delta_Jbr-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d1847921-r861255329-Warehouse-Dubai_Emirate_of_Dubai.html
53. Qwerty,"Bar, International$$ - $$$Menu",636 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d3920927-Reviews-Qwerty-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d3921044-r887005875-White_Orchid_Restaurant-Dubai_Emirate_of_Dubai.html
54. AER Lounge Dubai,"Bar, Sushi$$ - $$$Menu","1,667 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d18964723-Reviews-AER_Lounge_Dubai-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d3921044-r882773039-White_Orchid_Restaurant-Dubai_Emirate_of_Dubai.html
55. Al Khayma Heritage Restaurant & Cafe,"Grill, Middle Eastern$$ - $$$Menu",546 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23007236-Reviews-Al_Khayma_Heritage_Restaurant_Cafe-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d1656442-r845788015-Saffron-Dubai_Emirate_of_Dubai.html
"Sponsored
Bossman's Burgr Factory",American$$$$Menu,4 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23861284-Reviews-Bossman_s_Burgr_Factory-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d1656442-r872763956-Saffron-Dubai_Emirate_of_Dubai.html
56. Mina's Kitchen,"International, Arabic$$ - $$$",664 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d17839054-Reviews-Mina_s_Kitchen-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d8741296-r826041344-Sansation-Dubai_Emirate_of_Dubai.html
57. Pascal Tepper French Bakery,"French, Cafe$$ - $$$Menu",381 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d20033760-Reviews-Pascal_Tepper_French_Bakery-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d8741296-r813437357-Sansation-Dubai_Emirate_of_Dubai.html
58. Kaleidoscope,"Italian, Chinese$$ - $$$","3,963 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d1801217-Reviews-Kaleidoscope-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d25376698-r890218061-BLU_Skylounge_Dubai-Dubai_Emirate_of_Dubai.html
59. Meshico - The Soul of Mexico,"Mexican, Latin$$ - $$$Menu","1,584 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d17836844-Reviews-Meshico_The_Soul_of_Mexico-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d25376698-r890214243-BLU_Skylounge_Dubai-Dubai_Emirate_of_Dubai.html
60. Enigma,"Middle Eastern, Persian$$$$Menu",678 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d9769000-Reviews-Enigma-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23559175-r890290614-Logs_Embers-Dubai_Emirate_of_Dubai.html
"Sponsored
Virgin Izakaya Dubai","Asian, Japanese Fusion$$$$Menu",129 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23988354-Reviews-Virgin_Izakaya_Dubai-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23559175-r890290455-Logs_Embers-Dubai_Emirate_of_Dubai.html
"Sponsored
Punjab Pure Veg By Amritsr","Italian, ChineseMenu",14 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23869545-Reviews-Punjab_Pure_Veg_By_Amritsr-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23869545-r828515078-Punjab_Pure_Veg_By_Amritsr-Dubai_Emirate_of_Dubai.html
61. Alloro,"Italian, Mediterranean$$ - $$$Menu","1,081 point",https://www.tripadvisor.com/Restaurant_Review-g295424-d13293562-Reviews-Alloro-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d23869545-r849427548-Punjab_Pure_Veg_By_Amritsr-Dubai_Emirate_of_Dubai.html
62. Vietnamese Foodies Downtown,"Asian, Vietnamese$Menu",261 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d17430805-Reviews-Vietnamese_Foodies_Downtown-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d13293562-r890258781-Alloro-Dubai_Emirate_of_Dubai.html
63. Morgan's Gastropub,"Bar, Pub$$ - $$$Menu",338 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d13494780-Reviews-Morgan_s_Gastropub-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d13293562-r890258440-Alloro-Dubai_Emirate_of_Dubai.html
64. Anasa,"Greek, SeafoodMenu",155 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d23803894-Reviews-Anasa-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d17430805-r878882024-Vietnamese_Foodies_Downtown-Dubai_Emirate_of_Dubai.html
65. Asia Republic,"Asian, Thai$$ - $$$",675 point,https://www.tripadvisor.com/Restaurant_Review-g295424-d3925082-Reviews-Asia_Republic-Dubai_Emirate_of_Dubai.html#REVIEWS,https://www.tripadvisor.com/ShowUserReviews-g295424-d17430805-r878678798-Vietnamese_Foodies_Downtown-Dubai_Emirate_of_Dubai.html
